scraped_at,bank,currency,bid,ask,mid,spread,rate_date,source_bank_label
2026-05-27T12:52:53+00:00,SEB,CHF,11.75285,11.86485,11.80885,0.112,2026-05-27,Schweiz
2026-05-27T12:52:53+00:00,SEB,SGD,7.2267,7.2981,7.2624,0.0714,2026-05-27,Singapore
2026-05-27T12:52:53+00:00,SEB,GBP,12.4069,12.5469,12.4769,0.14,2026-05-27,Storbritannien
2026-05-27T12:52:53+00:00,SEB,ZAR,0.5581,0.5761,0.5671,0.018,2026-05-27,Sydafrika
2026-05-27T12:52:53+00:00,SEB,KRW,0.006087,0.006259,0.006173,0.000172,2026-05-27,Sydkorea
2026-05-27T12:52:53+00:00,SEB,THB,0.2819,0.2878,0.28485,0.0059,2026-05-27,Thailand
2026-05-27T12:52:53+00:00,SEB,CZK,0.441705,0.448305,0.445005,0.0066,2026-05-27,Tjeckien
2026-05-27T12:52:53+00:00,SEB,TRY,0.1676,0.2365,0.20205,0.0689,2026-05-27,Turkiet
2026-05-27T12:52:53+00:00,SEB,HUF,0.030028,0.030789,0.030408,0.000761,2026-05-27,Ungern
2026-05-27T12:52:53+00:00,SEB,USD,9.2086,9.3437,9.27615,0.1351,2026-05-27,USA
2026-05-27T12:52:53+00:00,Danske Bank,AUD,6.5635,6.6518,6.60765,0.0883,11:59:59,Australiensiska dollar
2026-05-27T12:52:53+00:00,Danske Bank,BRL,1.7878,1.8889,1.83835,0.1011,11:59:59,Brasilianska real
